"Country or Area","Year(s)","Variant","Value"
"Barbados","2100","Medium","203.022"
"Barbados","2100","High","300.267"
"Barbados","2100","Low","130.291"
"Barbados","2100","Constant fertility","197.875"
"Barbados","2100","Instant replacement","292.292"
"Barbados","2100","Zero migration","210.304"
"Barbados","2100","Constant mortality","174.633"
"Barbados","2100","No change","169.686"
"Barbados","2100","Momentum","267.145"
"Barbados","2100","Instant replacement zero migration","300.589"
"Barbados","2100","Median PI","203.022"
"Barbados","2100","Upper 80 PI","247.356"
"Barbados","2100","Lower 80 PI","161.839"
"Barbados","2100","Upper 95 PI","281.536"
"Barbados","2100","Lower 95 PI","139.45"
"Barbados","2099","Medium","204.292"
"Barbados","2099","High","299.587"
"Barbados","2099","Low","132.594"
"Barbados","2099","Constant fertility","199.262"
"Barbados","2099","Instant replacement","291.962"
"Barbados","2099","Zero migration","211.502"
"Barbados","2099","Constant mortality","176.06"
"Barbados","2099","No change","171.216"
"Barbados","2099","Momentum","267.12"
"Barbados","2099","Instant replacement zero migration","300.163"
"Barbados","2099","Median PI","204.293"
"Barbados","2099","Upper 80 PI","248.312"
"Barbados","2099","Lower 80 PI","163.594"
"Barbados","2099","Upper 95 PI","280.871"
"Barbados","2099","Lower 95 PI","141.36"
"Barbados","2098","Medium","205.572"
"Barbados","2098","High","298.917"
"Barbados","2098","Low","134.919"
"Barbados","2098","Constant fertility","200.654"
"Barbados","2098","Instant replacement","291.634"
"Barbados","2098","Zero migration","212.709"
"Barbados","2098","Constant mortality","177.502"
"Barbados","2098","No change","172.762"
"Barbados","2098","Momentum","267.096"
"Barbados","2098","Instant replacement zero migration","299.733"
"Barbados","2098","Median PI","205.572"
"Barbados","2098","Upper 80 PI","248.991"
"Barbados","2098","Lower 80 PI","165.273"
"Barbados","2098","Upper 95 PI","280.431"
"Barbados","2098","Lower 95 PI","143.486"
"Barbados","2097","Medium","206.864"
"Barbados","2097","High","298.26"
"Barbados","2097","Low","137.263"
"Barbados","2097","Constant fertility","202.061"
"Barbados","2097","Instant replacement","291.308"
"Barbados","2097","Zero migration","213.924"
"Barbados","2097","Constant mortality","178.957"
"Barbados","2097","No change","174.325"
"Barbados","2097","Momentum","267.07"
"Barbados","2097","Instant replacement zero migration","299.298"
"Barbados","2097","Median PI","206.865"
"Barbados","2097","Upper 80 PI","249.695"
"Barbados","2097","Lower 80 PI","167.224"
"Barbados","2097","Upper 95 PI","280.346"
"Barbados","2097","Lower 95 PI","145.66"
"Barbados","2096","Medium","208.169"
"Barbados","2096","High","297.618"
"Barbados","2096","Low","139.624"
"Barbados","2096","Constant fertility","203.476"
"Barbados","2096","Instant replacement","290.991"
"Barbados","2096","Zero migration","215.151"
"Barbados","2096","Constant mortality","180.435"
"Barbados","2096","No change","175.913"
"Barbados","2096","Momentum","267.046"
"Barbados","2096","Instant replacement zero migration","298.87"
"Barbados","2096","Median PI","208.17"
"Barbados","2096","Upper 80 PI","250.482"
"Barbados","2096","Lower 80 PI","169.369"
"Barbados","2096","Upper 95 PI","280.226"
"Barbados","2096","Lower 95 PI","147.775"
"Barbados","2095","Medium","209.482"
"Barbados","2095","High","296.996"
"Barbados","2095","Low","141.998"
"Barbados","2095","Constant fertility","204.9"
"Barbados","2095","Instant replacement","290.671"
"Barbados","2095","Zero migration","216.384"
"Barbados","2095","Constant mortality","181.945"
"Barbados","2095","No change","177.523"
"Barbados","2095","Momentum","267.029"
"Barbados","2095","Instant replacement zero migration","298.447"
"Barbados","2095","Median PI","209.482"
"Barbados","2095","Upper 80 PI","250.854"
"Barbados","2095","Lower 80 PI","171.232"
"Barbados","2095","Upper 95 PI","280.064"
"Barbados","2095","Lower 95 PI","149.796"
"Barbados","2094","Medium","210.804"
"Barbados","2094","High","296.394"
"Barbados","2094","Low","144.385"
"Barbados","2094","Constant fertility","206.331"
"Barbados","2094","Instant replacement","290.358"
"Barbados","2094","Zero migration","217.625"
"Barbados","2094","Constant mortality","183.476"
"Barbados","2094","No change","179.153"
"Barbados","2094","Momentum","267.024"
"Barbados","2094","Instant replacement zero migration","298.031"
"Barbados","2094","Median PI","210.803"
"Barbados","2094","Upper 80 PI","251.311"
"Barbados","2094","Lower 80 PI","172.876"
"Barbados","2094","Upper 95 PI","279.994"
"Barbados","2094","Lower 95 PI","151.865"
"Barbados","2093","Medium","212.135"
"Barbados","2093","High","295.812"
"Barbados","2093","Low","146.78"
"Barbados","2093","Constant fertility","207.762"
"Barbados","2093","Instant replacement","290.057"
"Barbados","2093","Zero migration","218.871"
"Barbados","2093","Constant mortality","185.03"
"Barbados","2093","No change","180.801"
"Barbados","2093","Momentum","267.043"
"Barbados","2093","Instant replacement zero migration","297.62"
"Barbados","2093","Median PI","212.135"
"Barbados","2093","Upper 80 PI","252.292"
"Barbados","2093","Lower 80 PI","174.626"
"Barbados","2093","Upper 95 PI","279.917"
"Barbados","2093","Lower 95 PI","154.014"
"Barbados","2092","Medium","213.464"
"Barbados","2092","High","295.255"
"Barbados","2092","Low","149.186"
"Barbados","2092","Constant fertility","209.201"
"Barbados","2092","Instant replacement","289.764"
"Barbados","2092","Zero migration","220.126"
"Barbados","2092","Constant mortality","186.607"
"Barbados","2092","No change","182.477"
"Barbados","2092","Momentum","267.081"
"Barbados","2092","Instant replacement zero migration","297.228"
"Barbados","2092","Median PI","213.464"
"Barbados","2092","Upper 80 PI","253.274"
"Barbados","2092","Lower 80 PI","176.562"
"Barbados","2092","Upper 95 PI","279.989"
"Barbados","2092","Lower 95 PI","156.113"
"Barbados","2091","Medium","214.797"
"Barbados","2091","High","294.722"
"Barbados","2091","Low","151.596"
"Barbados","2091","Constant fertility","210.647"
"Barbados","2091","Instant replacement","289.487"
"Barbados","2091","Zero migration","221.384"
"Barbados","2091","Constant mortality","188.2"
"Barbados","2091","No change","184.174"
"Barbados","2091","Momentum","267.132"
"Barbados","2091","Instant replacement zero migration","296.852"
"Barbados","2091","Median PI","214.797"
"Barbados","2091","Upper 80 PI","253.989"
"Barbados","2091","Lower 80 PI","178.575"
"Barbados","2091","Upper 95 PI","280.201"
"Barbados","2091","Lower 95 PI","158.348"
"Barbados","2090","Medium","216.138"
"Barbados","2090","High","294.215"
"Barbados","2090","Low","154.008"
"Barbados","2090","Constant fertility","212.097"
"Barbados","2090","Instant replacement","289.23"
"Barbados","2090","Zero migration","222.64"
"Barbados","2090","Constant mortality","189.814"
"Barbados","2090","No change","185.887"
"Barbados","2090","Momentum","267.213"
"Barbados","2090","Instant replacement zero migration","296.486"
"Barbados","2090","Median PI","216.138"
"Barbados","2090","Upper 80 PI","254.482"
"Barbados","2090","Lower 80 PI","180.48"
"Barbados","2090","Upper 95 PI","280.099"
"Barbados","2090","Lower 95 PI","160.705"
"Barbados","2089","Medium","217.486"
"Barbados","2089","High","293.747"
"Barbados","2089","Low","156.423"
"Barbados","2089","Constant fertility","213.544"
"Barbados","2089","Instant replacement","288.998"
"Barbados","2089","Zero migration","223.907"
"Barbados","2089","Constant mortality","191.45"
"Barbados","2089","No change","187.615"
"Barbados","2089","Momentum","267.325"
"Barbados","2089","Instant replacement zero migration","296.149"
"Barbados","2089","Median PI","217.486"
"Barbados","2089","Upper 80 PI","255.26"
"Barbados","2089","Lower 80 PI","182.219"
"Barbados","2089","Upper 95 PI","279.761"
"Barbados","2089","Lower 95 PI","163.065"
"Barbados","2088","Medium","218.841"
"Barbados","2088","High","293.312"
"Barbados","2088","Low","158.84"
"Barbados","2088","Constant fertility","214.992"
"Barbados","2088","Instant replacement","288.784"
"Barbados","2088","Zero migration","225.184"
"Barbados","2088","Constant mortality","193.107"
"Barbados","2088","No change","189.359"
"Barbados","2088","Momentum","267.467"
"Barbados","2088","Instant replacement zero migration","295.831"
"Barbados","2088","Median PI","218.841"
"Barbados","2088","Upper 80 PI","255.993"
"Barbados","2088","Lower 80 PI","183.921"
"Barbados","2088","Upper 95 PI","279.329"
"Barbados","2088","Lower 95 PI","165.359"
"Barbados","2087","Medium","220.197"
"Barbados","2087","High","292.918"
"Barbados","2087","Low","161.255"
"Barbados","2087","Constant fertility","216.436"
"Barbados","2087","Instant replacement","288.591"
"Barbados","2087","Zero migration","226.456"
"Barbados","2087","Constant mortality","194.786"
"Barbados","2087","No change","191.12"
"Barbados","2087","Momentum","267.633"
"Barbados","2087","Instant replacement zero migration","295.522"
"Barbados","2087","Median PI","220.197"
"Barbados","2087","Upper 80 PI","256.336"
"Barbados","2087","Lower 80 PI","185.643"
"Barbados","2087","Upper 95 PI","279.104"
"Barbados","2087","Lower 95 PI","167.714"
"Barbados","2086","Medium","221.558"
"Barbados","2086","High","292.56"
"Barbados","2086","Low","163.665"
"Barbados","2086","Constant fertility","217.875"
"Barbados","2086","Instant replacement","288.423"
"Barbados","2086","Zero migration","227.732"
"Barbados","2086","Constant mortality","196.476"
"Barbados","2086","No change","192.887"
"Barbados","2086","Momentum","267.828"
"Barbados","2086","Instant replacement zero migration","295.248"
"Barbados","2086","Median PI","221.558"
"Barbados","2086","Upper 80 PI","256.95"
"Barbados","2086","Lower 80 PI","187.469"
"Barbados","2086","Upper 95 PI","279.421"
"Barbados","2086","Lower 95 PI","170.166"
"Barbados","2085","Medium","222.916"
"Barbados","2085","High","292.224"
"Barbados","2085","Low","166.072"
"Barbados","2085","Constant fertility","219.314"
"Barbados","2085","Instant replacement","288.28"
"Barbados","2085","Zero migration","229.008"
"Barbados","2085","Constant mortality","198.178"
"Barbados","2085","No change","194.66"
"Barbados","2085","Momentum","268.055"
"Barbados","2085","Instant replacement zero migration","295.005"
"Barbados","2085","Median PI","222.916"
"Barbados","2085","Upper 80 PI","257.862"
"Barbados","2085","Lower 80 PI","189.473"
"Barbados","2085","Upper 95 PI","279.867"
"Barbados","2085","Lower 95 PI","172.816"
"Barbados","2084","Medium","224.272"
"Barbados","2084","High","291.914"
"Barbados","2084","Low","168.469"
"Barbados","2084","Constant fertility","220.746"
"Barbados","2084","Instant replacement","288.172"
"Barbados","2084","Zero migration","230.274"
"Barbados","2084","Constant mortality","199.882"
"Barbados","2084","No change","196.44"
"Barbados","2084","Momentum","268.304"
"Barbados","2084","Instant replacement zero migration","294.779"
"Barbados","2084","Median PI","224.272"
"Barbados","2084","Upper 80 PI","258.688"
"Barbados","2084","Lower 80 PI","191.62"
"Barbados","2084","Upper 95 PI","280.268"
"Barbados","2084","Lower 95 PI","175.289"
"Barbados","2083","Medium","225.624"
"Barbados","2083","High","291.634"
"Barbados","2083","Low","170.867"
"Barbados","2083","Constant fertility","222.18"
"Barbados","2083","Instant replacement","288.089"
"Barbados","2083","Zero migration","231.535"
"Barbados","2083","Constant mortality","201.584"
"Barbados","2083","No change","198.226"
"Barbados","2083","Momentum","268.584"
"Barbados","2083","Instant replacement zero migration","294.584"
"Barbados","2083","Median PI","225.624"
"Barbados","2083","Upper 80 PI","259.313"
"Barbados","2083","Lower 80 PI","193.421"
"Barbados","2083","Upper 95 PI","280.549"
"Barbados","2083","Lower 95 PI","177.182"
"Barbados","2082","Medium","226.965"
"Barbados","2082","High","291.378"
"Barbados","2082","Low","173.253"
"Barbados","2082","Constant fertility","223.607"
"Barbados","2082","Instant replacement","288.027"
"Barbados","2082","Zero migration","232.792"
"Barbados","2082","Constant mortality","203.299"
"Barbados","2082","No change","200.018"
"Barbados","2082","Momentum","268.897"
"Barbados","2082","Instant replacement zero migration","294.418"
"Barbados","2082","Median PI","226.965"
"Barbados","2082","Upper 80 PI","259.809"
"Barbados","2082","Lower 80 PI","194.868"
"Barbados","2082","Upper 95 PI","280.415"
"Barbados","2082","Lower 95 PI","178.922"
"Barbados","2081","Medium","228.317"
"Barbados","2081","High","291.153"
"Barbados","2081","Low","175.634"
"Barbados","2081","Constant fertility","225.028"
"Barbados","2081","Instant replacement","287.995"
"Barbados","2081","Zero migration","234.05"
"Barbados","2081","Constant mortality","205.022"
"Barbados","2081","No change","201.813"
"Barbados","2081","Momentum","269.234"
"Barbados","2081","Instant replacement zero migration","294.272"
"Barbados","2081","Median PI","228.317"
"Barbados","2081","Upper 80 PI","260.167"
"Barbados","2081","Lower 80 PI","196.37"
"Barbados","2081","Upper 95 PI","280.091"
"Barbados","2081","Lower 95 PI","180.576"
"Barbados","2080","Medium","229.669"
"Barbados","2080","High","290.953"
"Barbados","2080","Low","178.018"
"Barbados","2080","Constant fertility","226.447"
"Barbados","2080","Instant replacement","287.981"
"Barbados","2080","Zero migration","235.305"
"Barbados","2080","Constant mortality","206.748"
"Barbados","2080","No change","203.601"
"Barbados","2080","Momentum","269.594"
"Barbados","2080","Instant replacement zero migration","294.147"
"Barbados","2080","Median PI","229.67"
"Barbados","2080","Upper 80 PI","260.793"
"Barbados","2080","Lower 80 PI","198.067"
"Barbados","2080","Upper 95 PI","279.974"
"Barbados","2080","Lower 95 PI","182.488"
"Barbados","2079","Medium","231.006"
"Barbados","2079","High","290.761"
"Barbados","2079","Low","180.388"
"Barbados","2079","Constant fertility","227.857"
"Barbados","2079","Instant replacement","287.983"
"Barbados","2079","Zero migration","236.554"
"Barbados","2079","Constant mortality","208.472"
"Barbados","2079","No change","205.393"
"Barbados","2079","Momentum","269.971"
"Barbados","2079","Instant replacement zero migration","294.043"
"Barbados","2079","Median PI","231.006"
"Barbados","2079","Upper 80 PI","261.688"
"Barbados","2079","Lower 80 PI","199.895"
"Barbados","2079","Upper 95 PI","280.152"
"Barbados","2079","Lower 95 PI","184.538"
"Barbados","2078","Medium","232.334"
"Barbados","2078","High","290.579"
"Barbados","2078","Low","182.752"
"Barbados","2078","Constant fertility","229.257"
"Barbados","2078","Instant replacement","287.998"
"Barbados","2078","Zero migration","237.79"
"Barbados","2078","Constant mortality","210.199"
"Barbados","2078","No change","207.19"
"Barbados","2078","Momentum","270.363"
"Barbados","2078","Instant replacement zero migration","293.945"
"Barbados","2078","Median PI","232.334"
"Barbados","2078","Upper 80 PI","262.395"
"Barbados","2078","Lower 80 PI","201.786"
"Barbados","2078","Upper 95 PI","280.563"
"Barbados","2078","Lower 95 PI","186.698"
"Barbados","2077","Medium","233.66"
"Barbados","2077","High","290.411"
"Barbados","2077","Low","185.115"
"Barbados","2077","Constant fertility","230.651"
"Barbados","2077","Instant replacement","288.02"
"Barbados","2077","Zero migration","239.017"
"Barbados","2077","Constant mortality","211.93"
"Barbados","2077","No change","208.988"
"Barbados","2077","Momentum","270.766"
"Barbados","2077","Instant replacement zero migration","293.852"
"Barbados","2077","Median PI","233.66"
"Barbados","2077","Upper 80 PI","263.049"
"Barbados","2077","Lower 80 PI","203.823"
"Barbados","2077","Upper 95 PI","280.993"
"Barbados","2077","Lower 95 PI","188.998"
"Barbados","2076","Medium","234.975"
"Barbados","2076","High","290.24"
"Barbados","2076","Low","187.469"
"Barbados","2076","Constant fertility","232.042"
"Barbados","2076","Instant replacement","288.053"
"Barbados","2076","Zero migration","240.234"
"Barbados","2076","Constant mortality","213.655"
"Barbados","2076","No change","210.78"
"Barbados","2076","Momentum","271.179"
"Barbados","2076","Instant replacement zero migration","293.767"
"Barbados","2076","Median PI","234.975"
"Barbados","2076","Upper 80 PI","263.734"
"Barbados","2076","Lower 80 PI","205.834"
"Barbados","2076","Upper 95 PI","281.217"
"Barbados","2076","Lower 95 PI","191.122"
"Barbados","2075","Medium","236.275"
"Barbados","2075","High","290.06"
"Barbados","2075","Low","189.815"
"Barbados","2075","Constant fertility","233.423"
"Barbados","2075","Instant replacement","288.09"
"Barbados","2075","Zero migration","241.441"
"Barbados","2075","Constant mortality","215.375"
"Barbados","2075","No change","212.572"
"Barbados","2075","Momentum","271.594"
"Barbados","2075","Instant replacement zero migration","293.689"
"Barbados","2075","Median PI","236.276"
"Barbados","2075","Upper 80 PI","264.529"
"Barbados","2075","Lower 80 PI","207.754"
"Barbados","2075","Upper 95 PI","281.319"
"Barbados","2075","Lower 95 PI","193.452"
"Barbados","2074","Medium","237.567"
"Barbados","2074","High","289.882"
"Barbados","2074","Low","192.16"
"Barbados","2074","Constant fertility","234.799"
"Barbados","2074","Instant replacement","288.122"
"Barbados","2074","Zero migration","242.631"
"Barbados","2074","Constant mortality","217.089"
"Barbados","2074","No change","214.371"
"Barbados","2074","Momentum","272.003"
"Barbados","2074","Instant replacement zero migration","293.603"
"Barbados","2074","Median PI","237.567"
"Barbados","2074","Upper 80 PI","265.154"
"Barbados","2074","Lower 80 PI","209.617"
"Barbados","2074","Upper 95 PI","281.552"
"Barbados","2074","Lower 95 PI","195.618"
"Barbados","2073","Medium","238.845"
"Barbados","2073","High","289.692"
"Barbados","2073","Low","194.493"
"Barbados","2073","Constant fertility","236.168"
"Barbados","2073","Instant replacement","288.147"
"Barbados","2073","Zero migration","243.808"
"Barbados","2073","Constant mortality","218.791"
"Barbados","2073","No change","216.165"
"Barbados","2073","Momentum","272.409"
"Barbados","2073","Instant replacement zero migration","293.509"
"Barbados","2073","Median PI","238.846"
"Barbados","2073","Upper 80 PI","265.648"
"Barbados","2073","Lower 80 PI","211.405"
"Barbados","2073","Upper 95 PI","281.779"
"Barbados","2073","Lower 95 PI","197.58"
"Barbados","2072","Medium","240.1"
"Barbados","2072","High","289.486"
"Barbados","2072","Low","196.821"
"Barbados","2072","Constant fertility","237.527"
"Barbados","2072","Instant replacement","288.162"
"Barbados","2072","Zero migration","244.969"
"Barbados","2072","Constant mortality","220.489"
"Barbados","2072","No change","217.954"
"Barbados","2072","Momentum","272.811"
"Barbados","2072","Instant replacement zero migration","293.409"
"Barbados","2072","Median PI","240.1"
"Barbados","2072","Upper 80 PI","266.215"
"Barbados","2072","Lower 80 PI","213.16"
"Barbados","2072","Upper 95 PI","281.783"
"Barbados","2072","Lower 95 PI","199.609"
"Barbados","2071","Medium","241.352"
"Barbados","2071","High","289.269"
"Barbados","2071","Low","199.15"
"Barbados","2071","Constant fertility","238.88"
"Barbados","2071","Instant replacement","288.166"
"Barbados","2071","Zero migration","246.115"
"Barbados","2071","Constant mortality","222.183"
"Barbados","2071","No change","219.746"
"Barbados","2071","Momentum","273.21"
"Barbados","2071","Instant replacement zero migration","293.296"
"Barbados","2071","Median PI","241.352"
"Barbados","2071","Upper 80 PI","266.849"
"Barbados","2071","Lower 80 PI","214.864"
"Barbados","2071","Upper 95 PI","281.867"
"Barbados","2071","Lower 95 PI","201.768"
"Barbados","2070","Medium","242.612"
"Barbados","2070","High","289.058"
"Barbados","2070","Low","201.483"
"Barbados","2070","Constant fertility","240.232"
"Barbados","2070","Instant replacement","288.168"
"Barbados","2070","Zero migration","247.266"
"Barbados","2070","Constant mortality","223.881"
"Barbados","2070","No change","221.541"
"Barbados","2070","Momentum","273.599"
"Barbados","2070","Instant replacement zero migration","293.173"
"Barbados","2070","Median PI","242.612"
"Barbados","2070","Upper 80 PI","267.454"
"Barbados","2070","Lower 80 PI","216.636"
"Barbados","2070","Upper 95 PI","281.913"
"Barbados","2070","Lower 95 PI","203.936"
"Barbados","2069","Medium","243.854"
"Barbados","2069","High","288.842"
"Barbados","2069","Low","203.814"
"Barbados","2069","Constant fertility","241.574"
"Barbados","2069","Instant replacement","288.156"
"Barbados","2069","Zero migration","248.414"
"Barbados","2069","Constant mortality","225.574"
"Barbados","2069","No change","223.329"
