"Country or Area","Year(s)","Variant","Value"
"Antigua and Barbuda","2100","Medium","76.501"
"Antigua and Barbuda","2100","High","113.59"
"Antigua and Barbuda","2100","Low","49.559"
"Antigua and Barbuda","2100","Constant fertility","74.438"
"Antigua and Barbuda","2100","Instant replacement","112.878"
"Antigua and Barbuda","2100","Zero migration","76.501"
"Antigua and Barbuda","2100","Constant mortality","65.534"
"Antigua and Barbuda","2100","No change","63.505"
"Antigua and Barbuda","2100","Momentum","100.492"
"Antigua and Barbuda","2100","Instant replacement zero migration","112.878"
"Antigua and Barbuda","2100","Median PI","76.5"
"Antigua and Barbuda","2100","Upper 80 PI","93.944"
"Antigua and Barbuda","2100","Lower 80 PI","61.724"
"Antigua and Barbuda","2100","Upper 95 PI","104.304"
"Antigua and Barbuda","2100","Lower 95 PI","52.589"
"Antigua and Barbuda","2099","Medium","76.989"
"Antigua and Barbuda","2099","High","113.351"
"Antigua and Barbuda","2099","Low","50.417"
"Antigua and Barbuda","2099","Constant fertility","74.984"
"Antigua and Barbuda","2099","Instant replacement","112.739"
"Antigua and Barbuda","2099","Zero migration","76.989"
"Antigua and Barbuda","2099","Constant mortality","66.067"
"Antigua and Barbuda","2099","No change","64.094"
"Antigua and Barbuda","2099","Momentum","100.494"
"Antigua and Barbuda","2099","Instant replacement zero migration","112.739"
"Antigua and Barbuda","2099","Median PI","76.989"
"Antigua and Barbuda","2099","Upper 80 PI","94.197"
"Antigua and Barbuda","2099","Lower 80 PI","62.37"
"Antigua and Barbuda","2099","Upper 95 PI","104.316"
"Antigua and Barbuda","2099","Lower 95 PI","53.418"
"Antigua and Barbuda","2098","Medium","77.484"
"Antigua and Barbuda","2098","High","113.124"
"Antigua and Barbuda","2098","Low","51.291"
"Antigua and Barbuda","2098","Constant fertility","75.534"
"Antigua and Barbuda","2098","Instant replacement","112.597"
"Antigua and Barbuda","2098","Zero migration","77.484"
"Antigua and Barbuda","2098","Constant mortality","66.609"
"Antigua and Barbuda","2098","No change","64.689"
"Antigua and Barbuda","2098","Momentum","100.496"
"Antigua and Barbuda","2098","Instant replacement zero migration","112.597"
"Antigua and Barbuda","2098","Median PI","77.484"
"Antigua and Barbuda","2098","Upper 80 PI","94.368"
"Antigua and Barbuda","2098","Lower 80 PI","63.007"
"Antigua and Barbuda","2098","Upper 95 PI","104.334"
"Antigua and Barbuda","2098","Lower 95 PI","54.308"
"Antigua and Barbuda","2097","Medium","77.987"
"Antigua and Barbuda","2097","High","112.901"
"Antigua and Barbuda","2097","Low","52.172"
"Antigua and Barbuda","2097","Constant fertility","76.096"
"Antigua and Barbuda","2097","Instant replacement","112.465"
"Antigua and Barbuda","2097","Zero migration","77.987"
"Antigua and Barbuda","2097","Constant mortality","67.155"
"Antigua and Barbuda","2097","No change","65.293"
"Antigua and Barbuda","2097","Momentum","100.493"
"Antigua and Barbuda","2097","Instant replacement zero migration","112.465"
"Antigua and Barbuda","2097","Median PI","77.988"
"Antigua and Barbuda","2097","Upper 80 PI","94.554"
"Antigua and Barbuda","2097","Lower 80 PI","63.688"
"Antigua and Barbuda","2097","Upper 95 PI","104.287"
"Antigua and Barbuda","2097","Lower 95 PI","55.227"
"Antigua and Barbuda","2096","Medium","78.49"
"Antigua and Barbuda","2096","High","112.678"
"Antigua and Barbuda","2096","Low","53.057"
"Antigua and Barbuda","2096","Constant fertility","76.662"
"Antigua and Barbuda","2096","Instant replacement","112.337"
"Antigua and Barbuda","2096","Zero migration","78.49"
"Antigua and Barbuda","2096","Constant mortality","67.707"
"Antigua and Barbuda","2096","No change","65.903"
"Antigua and Barbuda","2096","Momentum","100.487"
"Antigua and Barbuda","2096","Instant replacement zero migration","112.337"
"Antigua and Barbuda","2096","Median PI","78.49"
"Antigua and Barbuda","2096","Upper 80 PI","94.847"
