"Country or Area","Year(s)","Variant","Value"
"Antigua and Barbuda","2096","Lower 80 PI","64.422"
"Antigua and Barbuda","2096","Upper 95 PI","104.316"
"Antigua and Barbuda","2096","Lower 95 PI","56.183"
"Antigua and Barbuda","2095","Medium","78.996"
"Antigua and Barbuda","2095","High","112.465"
"Antigua and Barbuda","2095","Low","53.951"
"Antigua and Barbuda","2095","Constant fertility","77.228"
"Antigua and Barbuda","2095","Instant replacement","112.207"
"Antigua and Barbuda","2095","Zero migration","78.996"
"Antigua and Barbuda","2095","Constant mortality","68.267"
"Antigua and Barbuda","2095","No change","66.518"
"Antigua and Barbuda","2095","Momentum","100.49"
"Antigua and Barbuda","2095","Instant replacement zero migration","112.207"
"Antigua and Barbuda","2095","Median PI","78.996"
"Antigua and Barbuda","2095","Upper 80 PI","95.084"
"Antigua and Barbuda","2095","Lower 80 PI","65.156"
"Antigua and Barbuda","2095","Upper 95 PI","104.352"
"Antigua and Barbuda","2095","Lower 95 PI","57.161"
"Antigua and Barbuda","2094","Medium","79.52"
"Antigua and Barbuda","2094","High","112.272"
"Antigua and Barbuda","2094","Low","54.86"
"Antigua and Barbuda","2094","Constant fertility","77.806"
"Antigua and Barbuda","2094","Instant replacement","112.089"
"Antigua and Barbuda","2094","Zero migration","79.52"
"Antigua and Barbuda","2094","Constant mortality","68.836"
"Antigua and Barbuda","2094","No change","67.147"
"Antigua and Barbuda","2094","Momentum","100.495"
"Antigua and Barbuda","2094","Instant replacement zero migration","112.089"
"Antigua and Barbuda","2094","Median PI","79.52"
"Antigua and Barbuda","2094","Upper 80 PI","95.277"
"Antigua and Barbuda","2094","Lower 80 PI","65.812"
"Antigua and Barbuda","2094","Upper 95 PI","104.323"
"Antigua and Barbuda","2094","Lower 95 PI","58.052"
"Antigua and Barbuda","2093","Medium","80.044"
"Antigua and Barbuda","2093","High","112.089"
"Antigua and Barbuda","2093","Low","55.773"
"Antigua and Barbuda","2093","Constant fertility","78.388"
"Antigua and Barbuda","2093","Instant replacement","111.974"
"Antigua and Barbuda","2093","Zero migration","80.044"
"Antigua and Barbuda","2093","Constant mortality","69.415"
"Antigua and Barbuda","2093","No change","67.782"
"Antigua and Barbuda","2093","Momentum","100.499"
"Antigua and Barbuda","2093","Instant replacement zero migration","111.974"
"Antigua and Barbuda","2093","Median PI","80.044"
"Antigua and Barbuda","2093","Upper 80 PI","95.552"
"Antigua and Barbuda","2093","Lower 80 PI","66.429"
"Antigua and Barbuda","2093","Upper 95 PI","104.268"
"Antigua and Barbuda","2093","Lower 95 PI","58.806"
"Antigua and Barbuda","2092","Medium","80.572"
"Antigua and Barbuda","2092","High","111.909"
"Antigua and Barbuda","2092","Low","56.687"
"Antigua and Barbuda","2092","Constant fertility","78.971"
"Antigua and Barbuda","2092","Instant replacement","111.859"
"Antigua and Barbuda","2092","Zero migration","80.572"
"Antigua and Barbuda","2092","Constant mortality","69.996"
"Antigua and Barbuda","2092","No change","68.419"
"Antigua and Barbuda","2092","Momentum","100.503"
"Antigua and Barbuda","2092","Instant replacement zero migration","111.859"
"Antigua and Barbuda","2092","Median PI","80.572"
"Antigua and Barbuda","2092","Upper 80 PI","95.838"
"Antigua and Barbuda","2092","Lower 80 PI","67.151"
"Antigua and Barbuda","2092","Upper 95 PI","104.346"
"Antigua and Barbuda","2092","Lower 95 PI","59.548"
"Antigua and Barbuda","2091","Medium","81.106"
"Antigua and Barbuda","2091","High","111.746"
"Antigua and Barbuda","2091","Low","57.612"
"Antigua and Barbuda","2091","Constant fertility","79.558"
"Antigua and Barbuda","2091","Instant replacement","111.754"
"Antigua and Barbuda","2091","Zero migration","81.106"
"Antigua and Barbuda","2091","Constant mortality","70.588"
"Antigua and Barbuda","2091","No change","69.064"
"Antigua and Barbuda","2091","Momentum","100.519"
"Antigua and Barbuda","2091","Instant replacement zero migration","111.754"
"Antigua and Barbuda","2091","Median PI","81.106"
"Antigua and Barbuda","2091","Upper 80 PI","96.081"
"Antigua and Barbuda","2091","Lower 80 PI","67.967"
"Antigua and Barbuda","2091","Upper 95 PI","104.578"
"Antigua and Barbuda","2091","Lower 95 PI","60.351"
"Antigua and Barbuda","2090","Medium","81.638"
"Antigua and Barbuda","2090","High","111.59"
"Antigua and Barbuda","2090","Low","58.542"
"Antigua and Barbuda","2090","Constant fertility","80.145"
"Antigua and Barbuda","2090","Instant replacement","111.656"
"Antigua and Barbuda","2090","Zero migration","81.638"
"Antigua and Barbuda","2090","Constant mortality","71.197"
"Antigua and Barbuda","2090","No change","69.716"
"Antigua and Barbuda","2090","Momentum","100.543"
"Antigua and Barbuda","2090","Instant replacement zero migration","111.656"
"Antigua and Barbuda","2090","Median PI","81.638"
"Antigua and Barbuda","2090","Upper 80 PI","96.248"
"Antigua and Barbuda","2090","Lower 80 PI","68.728"
"Antigua and Barbuda","2090","Upper 95 PI","104.872"
"Antigua and Barbuda","2090","Lower 95 PI","61.242"
"Antigua and Barbuda","2089","Medium","82.174"
"Antigua and Barbuda","2089","High","111.435"
"Antigua and Barbuda","2089","Low","59.467"
"Antigua and Barbuda","2089","Constant fertility","80.734"
"Antigua and Barbuda","2089","Instant replacement","111.563"
"Antigua and Barbuda","2089","Zero migration","82.174"
"Antigua and Barbuda","2089","Constant mortality","71.811"
"Antigua and Barbuda","2089","No change","70.381"
"Antigua and Barbuda","2089","Momentum","100.576"
"Antigua and Barbuda","2089","Instant replacement zero migration","111.563"
"Antigua and Barbuda","2089","Median PI","82.174"
"Antigua and Barbuda","2089","Upper 80 PI","96.433"
"Antigua and Barbuda","2089","Lower 80 PI","69.449"
"Antigua and Barbuda","2089","Upper 95 PI","105.094"
"Antigua and Barbuda","2089","Lower 95 PI","62.223"
"Antigua and Barbuda","2088","Medium","82.715"
"Antigua and Barbuda","2088","High","111.296"
"Antigua and Barbuda","2088","Low","60.395"
"Antigua and Barbuda","2088","Constant fertility","81.326"
"Antigua and Barbuda","2088","Instant replacement","111.48"
"Antigua and Barbuda","2088","Zero migration","82.715"
"Antigua and Barbuda","2088","Constant mortality","72.429"
"Antigua and Barbuda","2088","No change","71.052"
"Antigua and Barbuda","2088","Momentum","100.62"
"Antigua and Barbuda","2088","Instant replacement zero migration","111.48"
"Antigua and Barbuda","2088","Median PI","82.714"
"Antigua and Barbuda","2088","Upper 80 PI","96.658"
"Antigua and Barbuda","2088","Lower 80 PI","70.217"
"Antigua and Barbuda","2088","Upper 95 PI","105.05"
"Antigua and Barbuda","2088","Lower 95 PI","63.131"
"Antigua and Barbuda","2087","Medium","83.254"
"Antigua and Barbuda","2087","High","111.174"
"Antigua and Barbuda","2087","Low","61.328"
"Antigua and Barbuda","2087","Constant fertility","81.915"
"Antigua and Barbuda","2087","Instant replacement","111.401"
"Antigua and Barbuda","2087","Zero migration","83.254"
"Antigua and Barbuda","2087","Constant mortality","73.052"
"Antigua and Barbuda","2087","No change","71.722"
"Antigua and Barbuda","2087","Momentum","100.663"
"Antigua and Barbuda","2087","Instant replacement zero migration","111.401"
"Antigua and Barbuda","2087","Median PI","83.255"
"Antigua and Barbuda","2087","Upper 80 PI","96.902"
"Antigua and Barbuda","2087","Lower 80 PI","70.995"
"Antigua and Barbuda","2087","Upper 95 PI","105.058"
"Antigua and Barbuda","2087","Lower 95 PI","64.011"
"Antigua and Barbuda","2086","Medium","83.796"
"Antigua and Barbuda","2086","High","111.057"
"Antigua and Barbuda","2086","Low","62.257"
"Antigua and Barbuda","2086","Constant fertility","82.501"
"Antigua and Barbuda","2086","Instant replacement","111.328"
"Antigua and Barbuda","2086","Zero migration","83.796"
"Antigua and Barbuda","2086","Constant mortality","73.687"
"Antigua and Barbuda","2086","No change","72.402"
"Antigua and Barbuda","2086","Momentum","100.724"
"Antigua and Barbuda","2086","Instant replacement zero migration","111.328"
"Antigua and Barbuda","2086","Median PI","83.796"
"Antigua and Barbuda","2086","Upper 80 PI","97.154"
"Antigua and Barbuda","2086","Lower 80 PI","71.767"
"Antigua and Barbuda","2086","Upper 95 PI","105.236"
"Antigua and Barbuda","2086","Lower 95 PI","64.889"
"Antigua and Barbuda","2085","Medium","84.343"
"Antigua and Barbuda","2085","High","110.957"
"Antigua and Barbuda","2085","Low","63.19"
"Antigua and Barbuda","2085","Constant fertility","83.091"
"Antigua and Barbuda","2085","Instant replacement","111.267"
"Antigua and Barbuda","2085","Zero migration","84.343"
"Antigua and Barbuda","2085","Constant mortality","74.335"
"Antigua and Barbuda","2085","No change","73.088"
"Antigua and Barbuda","2085","Momentum","100.798"
"Antigua and Barbuda","2085","Instant replacement zero migration","111.267"
"Antigua and Barbuda","2085","Median PI","84.343"
"Antigua and Barbuda","2085","Upper 80 PI","97.436"
"Antigua and Barbuda","2085","Lower 80 PI","72.51"
"Antigua and Barbuda","2085","Upper 95 PI","105.358"
"Antigua and Barbuda","2085","Lower 95 PI","65.717"
"Antigua and Barbuda","2084","Medium","84.884"
"Antigua and Barbuda","2084","High","110.865"
"Antigua and Barbuda","2084","Low","64.12"
"Antigua and Barbuda","2084","Constant fertility","83.675"
"Antigua and Barbuda","2084","Instant replacement","111.213"
"Antigua and Barbuda","2084","Zero migration","84.884"
"Antigua and Barbuda","2084","Constant mortality","74.992"
"Antigua and Barbuda","2084","No change","73.783"
"Antigua and Barbuda","2084","Momentum","100.885"
"Antigua and Barbuda","2084","Instant replacement zero migration","111.213"
"Antigua and Barbuda","2084","Median PI","84.884"
"Antigua and Barbuda","2084","Upper 80 PI","97.73"
"Antigua and Barbuda","2084","Lower 80 PI","73.205"
"Antigua and Barbuda","2084","Upper 95 PI","105.367"
"Antigua and Barbuda","2084","Lower 95 PI","66.499"
"Antigua and Barbuda","2083","Medium","85.429"
"Antigua and Barbuda","2083","High","110.781"
"Antigua and Barbuda","2083","Low","65.052"
"Antigua and Barbuda","2083","Constant fertility","84.261"
"Antigua and Barbuda","2083","Instant replacement","111.168"
"Antigua and Barbuda","2083","Zero migration","85.429"
"Antigua and Barbuda","2083","Constant mortality","75.647"
"Antigua and Barbuda","2083","No change","74.479"
"Antigua and Barbuda","2083","Momentum","100.983"
"Antigua and Barbuda","2083","Instant replacement zero migration","111.168"
"Antigua and Barbuda","2083","Median PI","85.429"
"Antigua and Barbuda","2083","Upper 80 PI","98.039"
"Antigua and Barbuda","2083","Lower 80 PI","73.948"
"Antigua and Barbuda","2083","Upper 95 PI","105.338"
"Antigua and Barbuda","2083","Lower 95 PI","67.276"
"Antigua and Barbuda","2082","Medium","85.974"
"Antigua and Barbuda","2082","High","110.701"
"Antigua and Barbuda","2082","Low","65.977"
"Antigua and Barbuda","2082","Constant fertility","84.84"
"Antigua and Barbuda","2082","Instant replacement","111.127"
"Antigua and Barbuda","2082","Zero migration","85.974"
"Antigua and Barbuda","2082","Constant mortality","76.3"
"Antigua and Barbuda","2082","No change","75.179"
"Antigua and Barbuda","2082","Momentum","101.088"
"Antigua and Barbuda","2082","Instant replacement zero migration","111.127"
"Antigua and Barbuda","2082","Median PI","85.974"
"Antigua and Barbuda","2082","Upper 80 PI","98.383"
"Antigua and Barbuda","2082","Lower 80 PI","74.7"
"Antigua and Barbuda","2082","Upper 95 PI","105.405"
"Antigua and Barbuda","2082","Lower 95 PI","68.102"
"Antigua and Barbuda","2081","Medium","86.51"
"Antigua and Barbuda","2081","High","110.629"
"Antigua and Barbuda","2081","Low","66.895"
"Antigua and Barbuda","2081","Constant fertility","85.41"
"Antigua and Barbuda","2081","Instant replacement","111.087"
"Antigua and Barbuda","2081","Zero migration","86.51"
"Antigua and Barbuda","2081","Constant mortality","76.97"
"Antigua and Barbuda","2081","No change","75.886"
"Antigua and Barbuda","2081","Momentum","101.21"
"Antigua and Barbuda","2081","Instant replacement zero migration","111.087"
"Antigua and Barbuda","2081","Median PI","86.51"
"Antigua and Barbuda","2081","Upper 80 PI","98.73"
"Antigua and Barbuda","2081","Lower 80 PI","75.368"
"Antigua and Barbuda","2081","Upper 95 PI","105.492"
"Antigua and Barbuda","2081","Lower 95 PI","68.927"
"Antigua and Barbuda","2080","Medium","87.041"
"Antigua and Barbuda","2080","High","110.57"
"Antigua and Barbuda","2080","Low","67.814"
"Antigua and Barbuda","2080","Constant fertility","85.983"
"Antigua and Barbuda","2080","Instant replacement","111.055"
"Antigua and Barbuda","2080","Zero migration","87.041"
"Antigua and Barbuda","2080","Constant mortality","77.64"
"Antigua and Barbuda","2080","No change","76.593"
"Antigua and Barbuda","2080","Momentum","101.341"
"Antigua and Barbuda","2080","Instant replacement zero migration","111.055"
"Antigua and Barbuda","2080","Median PI","87.041"
"Antigua and Barbuda","2080","Upper 80 PI","99.066"
"Antigua and Barbuda","2080","Lower 80 PI","76.084"
"Antigua and Barbuda","2080","Upper 95 PI","105.65"
"Antigua and Barbuda","2080","Lower 95 PI","69.763"
"Antigua and Barbuda","2079","Medium","87.567"
"Antigua and Barbuda","2079","High","110.51"
"Antigua and Barbuda","2079","Low","68.724"
"Antigua and Barbuda","2079","Constant fertility","86.549"
"Antigua and Barbuda","2079","Instant replacement","111.032"
"Antigua and Barbuda","2079","Zero migration","87.567"
"Antigua and Barbuda","2079","Constant mortality","78.306"
"Antigua and Barbuda","2079","No change","77.303"
"Antigua and Barbuda","2079","Momentum","101.479"
"Antigua and Barbuda","2079","Instant replacement zero migration","111.032"
"Antigua and Barbuda","2079","Median PI","87.567"
"Antigua and Barbuda","2079","Upper 80 PI","99.306"
"Antigua and Barbuda","2079","Lower 80 PI","76.832"
"Antigua and Barbuda","2079","Upper 95 PI","105.862"
"Antigua and Barbuda","2079","Lower 95 PI","70.602"
"Antigua and Barbuda","2078","Medium","88.084"
"Antigua and Barbuda","2078","High","110.442"
"Antigua and Barbuda","2078","Low","69.623"
"Antigua and Barbuda","2078","Constant fertility","87.108"
"Antigua and Barbuda","2078","Instant replacement","111.011"
"Antigua and Barbuda","2078","Zero migration","88.084"
"Antigua and Barbuda","2078","Constant mortality","78.977"
"Antigua and Barbuda","2078","No change","78.013"
"Antigua and Barbuda","2078","Momentum","101.625"
"Antigua and Barbuda","2078","Instant replacement zero migration","111.011"
"Antigua and Barbuda","2078","Median PI","88.084"
"Antigua and Barbuda","2078","Upper 80 PI","99.551"
"Antigua and Barbuda","2078","Lower 80 PI","77.531"
"Antigua and Barbuda","2078","Upper 95 PI","106.063"
"Antigua and Barbuda","2078","Lower 95 PI","71.486"
"Antigua and Barbuda","2077","Medium","88.596"
"Antigua and Barbuda","2077","High","110.374"
"Antigua and Barbuda","2077","Low","70.517"
"Antigua and Barbuda","2077","Constant fertility","87.654"
"Antigua and Barbuda","2077","Instant replacement","110.981"
"Antigua and Barbuda","2077","Zero migration","88.596"
"Antigua and Barbuda","2077","Constant mortality","79.65"
"Antigua and Barbuda","2077","No change","78.717"
"Antigua and Barbuda","2077","Momentum","101.777"
"Antigua and Barbuda","2077","Instant replacement zero migration","110.981"
"Antigua and Barbuda","2077","Median PI","88.596"
"Antigua and Barbuda","2077","Upper 80 PI","99.803"
"Antigua and Barbuda","2077","Lower 80 PI","78.231"
"Antigua and Barbuda","2077","Upper 95 PI","106.244"
"Antigua and Barbuda","2077","Lower 95 PI","72.389"
"Antigua and Barbuda","2076","Medium","89.114"
"Antigua and Barbuda","2076","High","110.316"
"Antigua and Barbuda","2076","Low","71.411"
"Antigua and Barbuda","2076","Constant fertility","88.201"
"Antigua and Barbuda","2076","Instant replacement","110.963"
"Antigua and Barbuda","2076","Zero migration","89.114"
"Antigua and Barbuda","2076","Constant mortality","80.32"
"Antigua and Barbuda","2076","No change","79.419"
"Antigua and Barbuda","2076","Momentum","101.933"
"Antigua and Barbuda","2076","Instant replacement zero migration","110.963"
"Antigua and Barbuda","2076","Median PI","89.114"
"Antigua and Barbuda","2076","Upper 80 PI","100.044"
"Antigua and Barbuda","2076","Lower 80 PI","78.941"
"Antigua and Barbuda","2076","Upper 95 PI","106.273"
"Antigua and Barbuda","2076","Lower 95 PI","73.209"
"Antigua and Barbuda","2075","Medium","89.615"
"Antigua and Barbuda","2075","High","110.251"
"Antigua and Barbuda","2075","Low","72.296"
"Antigua and Barbuda","2075","Constant fertility","88.738"
"Antigua and Barbuda","2075","Instant replacement","110.941"
"Antigua and Barbuda","2075","Zero migration","89.615"
"Antigua and Barbuda","2075","Constant mortality","80.984"
"Antigua and Barbuda","2075","No change","80.12"
"Antigua and Barbuda","2075","Momentum","102.093"
"Antigua and Barbuda","2075","Instant replacement zero migration","110.941"
"Antigua and Barbuda","2075","Median PI","89.616"
"Antigua and Barbuda","2075","Upper 80 PI","100.305"
"Antigua and Barbuda","2075","Lower 80 PI","79.619"
"Antigua and Barbuda","2075","Upper 95 PI","106.204"
"Antigua and Barbuda","2075","Lower 95 PI","73.958"
"Antigua and Barbuda","2074","Medium","90.105"
"Antigua and Barbuda","2074","High","110.178"
"Antigua and Barbuda","2074","Low","73.177"
"Antigua and Barbuda","2074","Constant fertility","89.264"
"Antigua and Barbuda","2074","Instant replacement","110.912"
"Antigua and Barbuda","2074","Zero migration","90.105"
"Antigua and Barbuda","2074","Constant mortality","81.647"
"Antigua and Barbuda","2074","No change","80.817"
"Antigua and Barbuda","2074","Momentum","102.254"
"Antigua and Barbuda","2074","Instant replacement zero migration","110.912"
"Antigua and Barbuda","2074","Median PI","90.105"
"Antigua and Barbuda","2074","Upper 80 PI","100.548"
"Antigua and Barbuda","2074","Lower 80 PI","80.32"
"Antigua and Barbuda","2074","Upper 95 PI","106.238"
"Antigua and Barbuda","2074","Lower 95 PI","74.731"
"Antigua and Barbuda","2073","Medium","90.587"
"Antigua and Barbuda","2073","High","110.102"
"Antigua and Barbuda","2073","Low","74.046"
"Antigua and Barbuda","2073","Constant fertility","89.785"
"Antigua and Barbuda","2073","Instant replacement","110.881"
"Antigua and Barbuda","2073","Zero migration","90.587"
"Antigua and Barbuda","2073","Constant mortality","82.312"
"Antigua and Barbuda","2073","No change","81.514"
"Antigua and Barbuda","2073","Momentum","102.415"
"Antigua and Barbuda","2073","Instant replacement zero migration","110.881"
"Antigua and Barbuda","2073","Median PI","90.587"
"Antigua and Barbuda","2073","Upper 80 PI","100.743"
"Antigua and Barbuda","2073","Lower 80 PI","81.032"
"Antigua and Barbuda","2073","Upper 95 PI","106.202"
"Antigua and Barbuda","2073","Lower 95 PI","75.532"
"Antigua and Barbuda","2072","Medium","91.058"
"Antigua and Barbuda","2072","High","110.026"
"Antigua and Barbuda","2072","Low","74.906"
"Antigua and Barbuda","2072","Constant fertility","90.296"
"Antigua and Barbuda","2072","Instant replacement","110.849"
"Antigua and Barbuda","2072","Zero migration","91.058"
"Antigua and Barbuda","2072","Constant mortality","82.968"
"Antigua and Barbuda","2072","No change","82.211"
"Antigua and Barbuda","2072","Momentum","102.57"
"Antigua and Barbuda","2072","Instant replacement zero migration","110.849"
"Antigua and Barbuda","2072","Median PI","91.058"
"Antigua and Barbuda","2072","Upper 80 PI","100.897"
"Antigua and Barbuda","2072","Lower 80 PI","81.749"
"Antigua and Barbuda","2072","Upper 95 PI","106.154"
"Antigua and Barbuda","2072","Lower 95 PI","76.354"
"Antigua and Barbuda","2071","Medium","91.528"
"Antigua and Barbuda","2071","High","109.951"
"Antigua and Barbuda","2071","Low","75.766"
"Antigua and Barbuda","2071","Constant fertility","90.8"
"Antigua and Barbuda","2071","Instant replacement","110.811"
"Antigua and Barbuda","2071","Zero migration","91.528"
"Antigua and Barbuda","2071","Constant mortality","83.621"
"Antigua and Barbuda","2071","No change","82.898"
"Antigua and Barbuda","2071","Momentum","102.725"
"Antigua and Barbuda","2071","Instant replacement zero migration","110.811"
"Antigua and Barbuda","2071","Median PI","91.529"
"Antigua and Barbuda","2071","Upper 80 PI","101.066"
"Antigua and Barbuda","2071","Lower 80 PI","82.466"
"Antigua and Barbuda","2071","Upper 95 PI","106.215"
"Antigua and Barbuda","2071","Lower 95 PI","77.196"
"Antigua and Barbuda","2070","Medium","91.992"
"Antigua and Barbuda","2070","High","109.862"
"Antigua and Barbuda","2070","Low","76.619"
"Antigua and Barbuda","2070","Constant fertility","91.294"
"Antigua and Barbuda","2070","Instant replacement","110.759"
"Antigua and Barbuda","2070","Zero migration","91.992"
"Antigua and Barbuda","2070","Constant mortality","84.27"
"Antigua and Barbuda","2070","No change","83.579"
"Antigua and Barbuda","2070","Momentum","102.878"
"Antigua and Barbuda","2070","Instant replacement zero migration","110.759"
"Antigua and Barbuda","2070","Median PI","91.992"
"Antigua and Barbuda","2070","Upper 80 PI","101.173"
"Antigua and Barbuda","2070","Lower 80 PI","83.121"
"Antigua and Barbuda","2070","Upper 95 PI","106.27"
"Antigua and Barbuda","2070","Lower 95 PI","77.988"
"Antigua and Barbuda","2069","Medium","92.448"
"Antigua and Barbuda","2069","High","109.767"
"Antigua and Barbuda","2069","Low","77.466"
"Antigua and Barbuda","2069","Constant fertility","91.784"
"Antigua and Barbuda","2069","Instant replacement","110.705"
"Antigua and Barbuda","2069","Zero migration","92.448"
"Antigua and Barbuda","2069","Constant mortality","84.906"
"Antigua and Barbuda","2069","No change","84.251"
"Antigua and Barbuda","2069","Momentum","103.019"
"Antigua and Barbuda","2069","Instant replacement zero migration","110.705"
"Antigua and Barbuda","2069","Median PI","92.448"
"Antigua and Barbuda","2069","Upper 80 PI","101.365"
"Antigua and Barbuda","2069","Lower 80 PI","83.796"
"Antigua and Barbuda","2069","Upper 95 PI","106.375"
"Antigua and Barbuda","2069","Lower 95 PI","78.756"
"Antigua and Barbuda","2068","Medium","92.896"
"Antigua and Barbuda","2068","High","109.665"
"Antigua and Barbuda","2068","Low","78.308"
"Antigua and Barbuda","2068","Constant fertility","92.268"
"Antigua and Barbuda","2068","Instant replacement","110.639"
"Antigua and Barbuda","2068","Zero migration","92.896"
"Antigua and Barbuda","2068","Constant mortality","85.538"
"Antigua and Barbuda","2068","No change","84.915"
"Antigua and Barbuda","2068","Momentum","103.153"
"Antigua and Barbuda","2068","Instant replacement zero migration","110.639"
"Antigua and Barbuda","2068","Median PI","92.896"
"Antigua and Barbuda","2068","Upper 80 PI","101.64"
"Antigua and Barbuda","2068","Lower 80 PI","84.508"
"Antigua and Barbuda","2068","Upper 95 PI","106.51"
"Antigua and Barbuda","2068","Lower 95 PI","79.499"
"Antigua and Barbuda","2067","Medium","93.335"
"Antigua and Barbuda","2067","High","109.553"
"Antigua and Barbuda","2067","Low","79.14"
"Antigua and Barbuda","2067","Constant fertility","92.739"
"Antigua and Barbuda","2067","Instant replacement","110.565"
"Antigua and Barbuda","2067","Zero migration","93.335"
"Antigua and Barbuda","2067","Constant mortality","86.169"
"Antigua and Barbuda","2067","No change","85.578"
"Antigua and Barbuda","2067","Momentum","103.281"
"Antigua and Barbuda","2067","Instant replacement zero migration","110.565"
"Antigua and Barbuda","2067","Median PI","93.334"
"Antigua and Barbuda","2067","Upper 80 PI","101.844"
"Antigua and Barbuda","2067","Lower 80 PI","85.225"
"Antigua and Barbuda","2067","Upper 95 PI","106.656"
"Antigua and Barbuda","2067","Lower 95 PI","80.166"
"Antigua and Barbuda","2066","Medium","93.769"
"Antigua and Barbuda","2066","High","109.448"
"Antigua and Barbuda","2066","Low","79.97"
"Antigua and Barbuda","2066","Constant fertility","93.209"
"Antigua and Barbuda","2066","Instant replacement","110.491"
"Antigua and Barbuda","2066","Zero migration","93.769"
"Antigua and Barbuda","2066","Constant mortality","86.79"
"Antigua and Barbuda","2066","No change","86.234"
"Antigua and Barbuda","2066","Momentum","103.395"
"Antigua and Barbuda","2066","Instant replacement zero migration","110.491"
"Antigua and Barbuda","2066","Median PI","93.769"
"Antigua and Barbuda","2066","Upper 80 PI","101.98"
"Antigua and Barbuda","2066","Lower 80 PI","85.916"
"Antigua and Barbuda","2066","Upper 95 PI","106.769"
"Antigua and Barbuda","2066","Lower 95 PI","80.839"
"Antigua and Barbuda","2065","Medium","94.187"
"Antigua and Barbuda","2065","High","109.326"
"Antigua and Barbuda","2065","Low","80.785"
"Antigua and Barbuda","2065","Constant fertility","93.663"
