"Country or Area","Year(s)","Variant","Value"
"Barbados","2100","Medium","100.626"
"Barbados","2100","High","149.942"
"Barbados","2100","Low","63.769"
"Barbados","2100","Constant fertility","98.013"
"Barbados","2100","Instant replacement","145.865"
"Barbados","2100","Zero migration","104.927"
"Barbados","2100","Constant mortality","85.463"
"Barbados","2100","No change","82.965"
"Barbados","2100","Momentum","132.481"
"Barbados","2100","Instant replacement zero migration","150.682"
"Barbados","2100","Median PI","100.626"
"Barbados","2100","Upper 80 PI","123.359"
"Barbados","2100","Lower 80 PI","79.505"
"Barbados","2100","Upper 95 PI","140.394"
"Barbados","2100","Lower 95 PI","68.28"
"Barbados","2099","Medium","101.252"
"Barbados","2099","High","149.584"
"Barbados","2099","Low","64.911"
"Barbados","2099","Constant fertility","98.697"
"Barbados","2099","Instant replacement","145.685"
"Barbados","2099","Zero migration","105.513"
"Barbados","2099","Constant mortality","86.168"
"Barbados","2099","No change","83.719"
"Barbados","2099","Momentum","132.474"
"Barbados","2099","Instant replacement zero migration","150.453"
"Barbados","2099","Median PI","101.252"
"Barbados","2099","Upper 80 PI","123.648"
"Barbados","2099","Lower 80 PI","80.438"
"Barbados","2099","Upper 95 PI","139.955"
"Barbados","2099","Lower 95 PI","69.337"
"Barbados","2098","Medium","101.881"
"Barbados","2098","High","149.228"
"Barbados","2098","Low","66.067"
"Barbados","2098","Constant fertility","99.383"
"Barbados","2098","Instant replacement","145.508"
"Barbados","2098","Zero migration","106.103"
"Barbados","2098","Constant mortality","86.876"
"Barbados","2098","No change","84.478"
"Barbados","2098","Momentum","132.468"
"Barbados","2098","Instant replacement zero migration","150.219"
"Barbados","2098","Median PI","101.881"
"Barbados","2098","Upper 80 PI","123.943"
"Barbados","2098","Lower 80 PI","81.334"
"Barbados","2098","Upper 95 PI","139.588"
"Barbados","2098","Lower 95 PI","70.373"
"Barbados","2097","Medium","102.515"
"Barbados","2097","High","148.879"
"Barbados","2097","Low","67.228"
"Barbados","2097","Constant fertility","100.075"
"Barbados","2097","Instant replacement","145.328"
"Barbados","2097","Zero migration","106.697"
"Barbados","2097","Constant mortality","87.587"
"Barbados","2097","No change","85.245"
"Barbados","2097","Momentum","132.457"
"Barbados","2097","Instant replacement zero migration","149.984"
"Barbados","2097","Median PI","102.515"
"Barbados","2097","Upper 80 PI","124.25"
"Barbados","2097","Lower 80 PI","82.229"
"Barbados","2097","Upper 95 PI","139.36"
"Barbados","2097","Lower 95 PI","71.446"
"Barbados","2096","Medium","103.153"
"Barbados","2096","High","148.536"
"Barbados","2096","Low","68.397"
"Barbados","2096","Constant fertility","100.769"
"Barbados","2096","Instant replacement","145.15"
"Barbados","2096","Zero migration","107.297"
"Barbados","2096","Constant mortality","88.312"
"Barbados","2096","No change","86.026"
"Barbados","2096","Momentum","132.445"
"Barbados","2096","Instant replacement zero migration","149.75"
"Barbados","2096","Median PI","103.152"
"Barbados","2096","Upper 80 PI","124.587"
"Barbados","2096","Lower 80 PI","83.163"
"Barbados","2096","Upper 95 PI","139.213"
"Barbados","2096","Lower 95 PI","72.564"
"Barbados","2095","Medium","103.796"
"Barbados","2095","High","148.203"
"Barbados","2095","Low","69.574"
"Barbados","2095","Constant fertility","101.469"
"Barbados","2095","Instant replacement","144.972"
"Barbados","2095","Zero migration","107.898"
"Barbados","2095","Constant mortality","89.053"
"Barbados","2095","No change","86.816"
"Barbados","2095","Momentum","132.434"
"Barbados","2095","Instant replacement zero migration","149.517"
"Barbados","2095","Median PI","103.796"
"Barbados","2095","Upper 80 PI","124.978"
"Barbados","2095","Lower 80 PI","84.067"
"Barbados","2095","Upper 95 PI","139.186"
"Barbados","2095","Lower 95 PI","73.737"
"Barbados","2094","Medium","104.445"
"Barbados","2094","High","147.877"
"Barbados","2094","Low","70.754"
"Barbados","2094","Constant fertility","102.171"
"Barbados","2094","Instant replacement","144.792"
"Barbados","2094","Zero migration","108.502"
"Barbados","2094","Constant mortality","89.803"
"Barbados","2094","No change","87.615"
"Barbados","2094","Momentum","132.427"
"Barbados","2094","Instant replacement zero migration","149.285"
"Barbados","2094","Median PI","104.445"
"Barbados","2094","Upper 80 PI","125.398"
"Barbados","2094","Lower 80 PI","85.004"
"Barbados","2094","Upper 95 PI","139.248"
"Barbados","2094","Lower 95 PI","74.969"
"Barbados","2093","Medium","105.092"
"Barbados","2093","High","147.559"
"Barbados","2093","Low","71.938"
"Barbados","2093","Constant fertility","102.87"
"Barbados","2093","Instant replacement","144.618"
"Barbados","2093","Zero migration","109.106"
"Barbados","2093","Constant mortality","90.564"
"Barbados","2093","No change","88.423"
"Barbados","2093","Momentum","132.429"
"Barbados","2093","Instant replacement zero migration","149.052"
"Barbados","2093","Median PI","105.092"
"Barbados","2093","Upper 80 PI","125.762"
"Barbados","2093","Lower 80 PI","85.922"
"Barbados","2093","Upper 95 PI","139.33"
"Barbados","2093","Lower 95 PI","76.086"
"Barbados","2092","Medium","105.737"
"Barbados","2092","High","147.252"
"Barbados","2092","Low","73.131"
"Barbados","2092","Constant fertility","103.574"
"Barbados","2092","Instant replacement","144.446"
"Barbados","2092","Zero migration","109.714"
"Barbados","2092","Constant mortality","91.335"
"Barbados","2092","No change","89.243"
"Barbados","2092","Momentum","132.438"
"Barbados","2092","Instant replacement zero migration","148.828"
"Barbados","2092","Median PI","105.738"
"Barbados","2092","Upper 80 PI","126.058"
"Barbados","2092","Lower 80 PI","86.774"
"Barbados","2092","Upper 95 PI","139.365"
"Barbados","2092","Lower 95 PI","76.975"
"Barbados","2091","Medium","106.385"
"Barbados","2091","High","146.954"
